error	steps
17.5	0.0
17.5	1.0
17.5	2.0
17.5	3.0
17.5	4.0
17.5	5.0
17.5	6.0
17.5	7.0
17.5	8.0
17.5	9.0
17.5	10.0
17.5	11.0
17.5	12.0
17.5	13.0
17.5	14.0
17.5	15.0
17.5	16.0
17.5	17.0
17.5	18.0
17.5	19.0
17.5	20.0
17.5	21.0
17.5	22.0
17.5	23.0
17.5	24.0
17.5	25.0
17.5	26.0
17.5	27.0
17.5	28.0
17.5	29.0
17.5	30.0
17.5	31.0
17.5	32.0
17.5	33.0
17.5	34.0
17.5	35.0
17.5	36.0
17.5	37.0
17.5	38.0
17.5	39.0
17.5	40.0
17.5	41.0
17.5	42.0
17.5	43.0
17.5	44.0
17.5	45.0
17.5	46.0
17.5	47.0
17.5	48.0
17.5	49.0
17.5	50.0
17.5	51.0
17.5	52.0
