n name b3 b4 reference
1 BL1719 1709.0000 1729.0000 (Fanelli+90)
2 BL1853 1838.0000 1868.0000 (Fanelli+90)
3 Fe2332 2333.0000 2359.0000 (Fanelli+90)
4 Fe2402 2382.0000 2422.0000 (Fanelli+90)
5 BL2538 2520.0000 2556.0000 (Fanelli+90)
6 Fe2609 2596.0000 2622.0000 (Fanelli+90)
7 Mgwide 2670.0000 2870.0000 (Fanelli+90)
8 BL2720 2713.0000 2733.0000 (Fanelli+90)
9 BL2740 2736.0000 2762.0000 (Fanelli+90)
10 Mg2800 2784.0000 2814.0000 (Fanelli+90)
11 Mg2852 2839.0000 2865.0000 (Fanelli+90)
12 Fe3000 2965.0000 3025.0000 (Fanelli+90)
13 BL3096 3086.0000 3106.0000 (Fanelli+90)
14 Mg3334 3328.0000 3340.0000 (Serven+11)
15 NH3360 3350.0000 3400.0000 (Davidge,Clark94)
16 NH3375 3350.0000 3400.0000 (Serven+11)
17 Ni3520 3511.0000 3530.0000 (Gregg94)
18 Fe3581 3548.0000 3594.0000 (Gregg94)
19 Fe3619 3602.0000 3623.5000 (Gregg94)
20 Fe3631 3628.5000 3637.5000 (Gregg94)
21 Fe3646 3642.5000 3650.0000 (Gregg94)
22 Fe3683 3676.0000 3691.5000 (Gregg94)
23 Fe3706 3701.0000 3711.0000 (Gregg94)
24 Fe3741 3701.0000 3772.0000 (Gregg94)
25 UV_CN 3780.0000 3900.0000 (Pickles85,Davidge,Clark94)
26 H10Fe 3786.0000 3802.0000 (Gregg94)
27 CNB 3810.0000 3910.0000 (Brodie,Huchra90)
28 MgH93838 3814.0000 3843.0000 (Gregg94)
29 CNO3862 3840.3000 3883.4000 (Serven+05)
30 CN3883 3847.0000 3880.0000 (Gregg94)
31 CaHK 3899.5000 4003.5000 (Serven+05)
32 CaIIH_K 3915.0000 4000.0000 (Pickles85)
33 CaK3933 3924.5000 3942.5000 (Gregg94)
34 H_K 3925.0000 3995.0000 (Brodie,Huchra90)
35 CaH3968 3959.5000 3977.5000 (Gregg94)
36 FeBand 4025.5000 4085.0000 (Gregg94)
37 Fe4033 4027.5000 4039.0000 (Gregg94)
38 Fe4046 4041.0000 4051.0000 (Gregg94)
39 Fe4064 4056.0000 4070.0000 (Gregg94)
40 Sr4077 4071.0000 4083.0000 (Gregg94)
41 HdA 4083.5000 4122.2500 (Worthey,Ottaviani97)
42 HdF 4091.0000 4112.2500 (Worthey,Ottaviani97)
43 CNO4175 4129.4000 4219.8000 (Serven+11)
44 CN1 4142.1250 4177.1250 (Trager+98)
45 CN2 4142.1250 4177.1250 (Trager+98)
